"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL1922930";"";"None";"586.01";"2";"6.74";"27";"CCC[C@@H](Cc1ccc(C(=O)NCCC(=O)O)cc1)C(=O)c1cc2cc(Cl)ccc2n1-c1cccc(C(F)(F)F)n1";"IC50";"'='";"9.2";"nM";"8.04";"";"";"UO_0000065";"13.71";"0.27";"1.30";"7.93";"0";"CHEMBL1925536";"Displacement of [125I]-glucagon from human glucagon receptor expressed in CHO cells after 4 to 12 hrs by scintillation proximity assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1985";"Glucagon receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1921704";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3308072";"";"";""
"CHEMBL1922916";"";"None";"573.13";"2";"7.63";"4, enantiomer";"CCCC(Cc1ccc(C(=O)NCCC(=O)O)cc1)C(=O)c1cc2cc(Cl)ccc2n1-c1ccc(C(C)(C)C)cc1";"IC50";"'='";"52.0";"nM";"7.28";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1925540";"Antagonist activity at human glucagon receptor expressed in CHO cells assessed as inhibition of forskolin/glucagon-induced cAMP production preincubated for 30 mins before glucagon challenge measured after 30 mins using [125I]-cAMP by liquid scintillation counting";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1985";"Glucagon receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1921704";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3308072";"";"";""
"CHEMBL1922921";"";"None";"585.02";"2";"7.35";"18";"CCC[C@@H](Cc1ccc(C(=O)NCCC(=O)O)cc1)C(=O)c1cc2cc(Cl)ccc2n1-c1cccc(C(F)(F)F)c1";"IC50";"'='";"55.0";"nM";"7.26";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1925540";"Antagonist activity at human glucagon receptor expressed in CHO cells assessed as inhibition of forskolin/glucagon-induced cAMP production preincubated for 30 mins before glucagon challenge measured after 30 mins using [125I]-cAMP by liquid scintillation counting";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1985";"Glucagon receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1921704";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3308072";"";"";""
"CHEMBL1922937";"";"None";"608.66";"2";"7.48";"37";"CCCCC[C@@H](Cc1ccc(C(=O)NCCC(=O)O)cc1)C(=O)c1cc2cc(OC)ccc2n1-c1cccc(C(F)(F)F)c1";"IC50";"'='";"26.0";"nM";"7.58";"";"";"UO_0000065";"12.46";"0.24";"0.11";"7.77";"0";"CHEMBL1925536";"Displacement of [125I]-glucagon from human glucagon receptor expressed in CHO cells after 4 to 12 hrs by scintillation proximity assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1985";"Glucagon receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1921704";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3308072";"";"";""
"CHEMBL1922931";"";"None";"586.01";"2";"6.74";"28";"CCC[C@H](Cc1ccc(C(=O)NCCC(=O)O)cc1)C(=O)c1cc2cc(Cl)ccc2n1-c1cccc(C(F)(F)F)n1";"IC50";"'='";"450.0";"nM";"6.35";"";"";"UO_0000065";"10.83";"0.21";"-0.39";"6.27";"0";"CHEMBL1925536";"Displacement of [125I]-glucagon from human glucagon receptor expressed in CHO cells after 4 to 12 hrs by scintillation proximity assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1985";"Glucagon receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1921704";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3308072";"";"";""
"CHEMBL1922711";"";"None";"538.51";"1";"4.75";"33";"CCc1cc(C(F)(F)F)cc2c1n(C)/c(=N/c1ccc(F)cc1)n2Cc1ccc(C(=O)Nc2nnn[nH]2)cc1";"IC50";"'='";"110.0";"nM";"6.96";"";"";"UO_0000065";"12.92";"0.24";"2.21";"6.58";"0";"CHEMBL1924335";"Displacement of [125I]glucagon from human GCGR expressed in CHO cells after 4 to 12 hrs by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1985";"Glucagon receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1921761";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3308072";"";"";""
"CHEMBL1922712";"";"None";"606.49";"1";"4.95";"34";"COc1cc(C(F)(F)F)cc2c1n(C)/c(=N/c1ccc(OC(F)(F)F)cc1)n2Cc1ccc(C(=O)Nc2nnn[nH]2)cc1";"IC50";"'='";"8.3";"nM";"8.08";"";"";"UO_0000065";"13.32";"0.26";"3.13";"6.50";"0";"CHEMBL1924335";"Displacement of [125I]glucagon from human GCGR expressed in CHO cells after 4 to 12 hrs by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1985";"Glucagon receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1921761";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3308072";"";"";""
"CHEMBL1922835";"";"None";"600.99";"2";"5.37";"38";"CCCOc1cc(Cl)cc2c1n(C)/c(=N/c1ccc(OC(F)(F)F)cc1)n2Cc1ccc(C(=O)Nc2nnn[nH]2)cc1";"IC50";"'='";"8.3";"nM";"8.08";"";"";"UO_0000065";"13.45";"0.26";"2.71";"6.50";"0";"CHEMBL1924335";"Displacement of [125I]glucagon from human GCGR expressed in CHO cells after 4 to 12 hrs by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1985";"Glucagon receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1921761";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3308072";"";"";""
"CHEMBL1922838";"";"None";"600.99";"2";"5.37";"41";"CC(C)Oc1cc(Cl)cc2c1n(C)/c(=N/c1ccc(OC(F)(F)F)cc1)n2Cc1ccc(C(=O)Nc2nnn[nH]2)cc1";"IC50";"'='";"9.3";"nM";"8.03";"";"";"UO_0000065";"13.36";"0.26";"2.66";"6.46";"0";"CHEMBL1924335";"Displacement of [125I]glucagon from human GCGR expressed in CHO cells after 4 to 12 hrs by scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1985";"Glucagon receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1921761";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3308072";"";"";""
"CHEMBL315311";"";"None";"457.70";"1";"6.06";"31";"Clc1ccc(-c2nc(-c3ccc(I)cc3)c(-c3ccncc3)[nH]2)cc1";"IC50";"'='";"130.0";"nM";"6.89";"";"";"UO_0000065";"15.04";"0.38";"0.83";"16.56";"0";"CHEMBL684123";"Binding affinity towards human glucagon receptor in absence of Mg2+ expressed as IC50";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1985";"Glucagon receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133966";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2001";"None";"";"";""
"CHEMBL161401";"";"None";"498.92";"0";"4.12";"12";"COC(=O)C(Oc1c(OC)cc(/C=N/NC(=O)c2ccc(O)c(Cl)c2)cc1OC)c1ccccc1";"IC50";"'='";"690.0";"nM";"6.16";"";"";"UO_0000065";"12.35";"0.24";"2.04";"5.33";"0";"CHEMBL684125";"In vitro inhibitory activity against human glucagon receptor using [127I]-labeled glucagon";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1985";"Glucagon receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135077";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"None";"";"";""
"CHEMBL411832";"";"None";"601.63";"2";"6.31";"6b, E1";"CC(C)(C)[C@H]1CC[C@H](N(C(=O)Nc2ccc(OC(F)(F)F)cc2)C2CCOc3cc(C(=O)Nc4nn[nH]n4)ccc32)CC1";"IC50";"'='";"0.5";"nM";"9.30";"";"";"UO_0000065";"15.46";"0.30";"2.99";"6.92";"0";"CHEMBL890125";"Displacement of [125]glucagon from human glucagon receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1985";"Glucagon receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146306";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3308072";"";"";""
"CHEMBL395759";"";"None";"605.65";"2";"6.75";"6a";"CC(C)(C)[C@H]1CC[C@H](N(C(=O)Nc2ccc(OC(F)(F)F)cc2)C2CCOc3cc(C(=O)NCCC(=O)O)ccc32)CC1";"IC50";"'='";"218.0";"nM";"6.66";"";"";"UO_0000065";"11.00";"0.21";"-0.09";"5.68";"0";"CHEMBL890125";"Displacement of [125]glucagon from human glucagon receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1985";"Glucagon receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146306";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3308072";"";"";""
"CHEMBL396215";"";"None";"585.63";"2";"6.48";"4b, E2";"CC(C)(C)[C@H]1CC[C@H](N(C(=O)Nc2ccc(OC(F)(F)F)cc2)C2CCc3cc(C(=O)Nc4nn[nH]n4)ccc32)CC1";"IC50";"'='";"359.0";"nM";"6.45";"";"";"UO_0000065";"11.01";"0.21";"-0.04";"5.15";"0";"CHEMBL890125";"Displacement of [125]glucagon from human glucagon receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1985";"Glucagon receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146306";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3308072";"";"";""
"CHEMBL232037";"";"None";"570.62";"2";"6.09";"22b";"CC(C)(C)[C@H]1CC[C@H](N(C(=O)c2ccc(OC(F)(F)F)cc2)C2CCc3cc(C(=O)Nc4nn[nH]n4)ccc32)CC1";"IC50";"'='";"1467.0";"nM";"5.83";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL890126";"Antagonist activity at human glucagon receptor transfected in CHO cells assessed as inhibition of glucagon-induced cAMP accumulation";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1985";"Glucagon receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146306";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3308072";"";"";""
"CHEMBL506520";"";"None";"562.72";"2";"6.46";"12";"CC(C)(C)[C@H]1CC[C@H](N(Cc2ccc(C(=O)Nc3nnn[nH]3)cc2)c2nc3ccccc3n2Cc2ccccc2)CC1";"IC50";"'='";"16.0";"nM";"7.80";"";"";"UO_0000065";"13.85";"0.25";"1.34";"7.45";"0";"CHEMBL945216";"Displacement of [125I]glucagon from human GCGR expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1985";"Glucagon receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157483";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"CHEMBL3308072";"";"";""
"CHEMBL511964";"";"None";"555.51";"2";"6.26";"38";"Cn1c(N(Cc2ccc(C(=O)Nc3nnn[nH]3)cc2)[C@H]2CC[C@H](C(C)(C)C)CC2)nc2cc(Cl)c(Cl)cc21";"IC50";"'='";"23.0";"nM";"7.64";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL945217";"Antagonist activity against human GCGR expressed in CHO cells assessed as glucagon-induced cAMP accumulation";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1985";"Glucagon receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157483";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"CHEMBL3308072";"";"";""
"CHEMBL416559";"";"None";"353.55";"1";"6.53";"14";"CCCCCc1c(C(C)C)nc(C(C)C)c(CO)c1-c1cccc(C)c1";"Inhibition";"'='";"46.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL680801";"Percentage inhibition of human glucagon receptor function expressed in CHO cells at a concentration of 20 uM.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"CHO";"None";"";"";"";"CHEMBL1985";"Glucagon receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135302";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"CHEMBL3308072";"";"";""
"CHEMBL152464";"";"None";"506.39";"2";"5.59";"51";"O=C(N/N=C/c1ccc(C(=O)NCCc2ccc(Cl)cc2)c2ccccc12)c1ccc(O)c(Cl)c1";"IC50";"'='";"5.9";"nM";"8.23";"";"";"UO_0000065";"16.25";"0.32";"2.64";"9.06";"0";"CHEMBL684126";"In vitro binding affinity for recombinant human glucagon receptor (hGGR) in BHK cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"BHK";"None";"";"";"";"CHEMBL1985";"Glucagon receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135694";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";""
"CHEMBL3680836";"";"None";"511.60";"2";"6.49";"BDBM123644";"CC(C)c1ccc(CNc2ccc(-c3ccc(F)cc3)cc2)c(-c2ccc(C(=O)NCCC(=O)O)nc2)c1";"Ki";"'='";"20.0";"nM";"7.70";"";"252562";"UO_0000065";"15.05";"0.28";"1.21";"8.43";"0";"CHEMBL3887065";"Binding Assay: The binding assay was performed by a filtration method in a 384 well format. Membranes at a final protein concentration of 6 μg/well were incubated with 125I-glucagon at 0.3 nM and in the presence of compound for 2 hours at room temperature in a total reaction volume of 40 μL per well. Assay buffer consisted of 50 mM HEPES, pH 7.4, 5 mM MgCl2, 1 mM CaCl2 and 0.2% BSA. 30 μL of the reaction was then transferred to PEI treated filter plates and followed by filter aspiration. Plates were then washed 5x and allowed to dry at room temperature overnight. The next day the bottom of the plate was covered with seal tape and scintillant was added. Total counts retained by the filters were quantified with a Top Count instrument.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1985";"Glucagon receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638560";"37";"BindingDB Database";"";"2014";"None";"";"";""
"CHEMBL519776";"";"None";"576.00";"2";"6.90";"17";"O=C(O)CCNC(=O)c1ccc(CN(c2ccc(Cl)cc2)c2nc(-c3ccc(OC(F)(F)F)cc3)cs2)cc1";"IC50";"'='";"82.0";"nM";"7.09";"";"";"UO_0000065";"12.30";"0.25";"0.19";"7.72";"0";"CHEMBL995928";"Displacement of [125I]porcine glucagon from human recombinant glucagon receptor expressed in BHK cells by scintillation proximity assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BHK";"None";"";"";"";"CHEMBL1985";"Glucagon receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138494";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";""
"CHEMBL491920";"";"None";"559.01";"2";"7.06";"27";"O=C(O)CCNC(=O)c1ccc(CC(c2ccc(Cl)cc2)c2nc(-c3ccc(C(F)(F)F)cc3)cs2)cc1";"IC50";"'='";"38.0";"nM";"7.42";"";"";"UO_0000065";"13.27";"0.27";"0.36";"9.36";"0";"CHEMBL995930";"Binding affinity to human recombinant glucagon receptor expressed in BHK cells by membrane filter assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BHK";"None";"";"";"";"CHEMBL1985";"Glucagon receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138494";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";""
"CHEMBL450411";"";"None";"593.79";"2";"8.61";"2";"CC(C)(C)c1ccc(-c2csc(N(Cc3ccc(C(=O)NCCC(=O)O)cc3)c3ccc(C4=CCCCC4)cc3)n2)cc1";"IC50";"'='";"118.0";"nM";"6.93";"";"";"UO_0000065";"11.67";"0.22";"-1.68";"8.39";"0";"CHEMBL995928";"Displacement of [125I]porcine glucagon from human recombinant glucagon receptor expressed in BHK cells by scintillation proximity assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BHK";"None";"";"";"";"CHEMBL1985";"Glucagon receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138494";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";""
"CHEMBL442651";"";"None";"613.66";"2";"7.94";"25";"O=C(O)CCNC(=O)c1ccc(N(Cc2ccc3c(c2)Cc2ccccc2-3)c2nc(-c3ccc(C(F)(F)F)cc3)cs2)cc1";"IC50";"'='";"78.0";"nM";"7.11";"";"";"UO_0000065";"11.58";"0.22";"-0.83";"8.61";"0";"CHEMBL995928";"Displacement of [125I]porcine glucagon from human recombinant glucagon receptor expressed in BHK cells by scintillation proximity assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BHK";"None";"";"";"";"CHEMBL1985";"Glucagon receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138494";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";""
"CHEMBL86250";"";"None";"357.43";"1";"6.07";"9";"CC(C)c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1";"IC50";"'='";"280.54";"nM";"6.55";"";"";"UO_0000065";"18.33";"0.33";"0.48";"15.76";"0";"CHEMBL2427588";"Inhibition of human glucagon receptor expressed in CHO cell membranes by radioligand displacement assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1985";"Glucagon receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2424514";"1";"Scientific Literature";"Med Chem Res";"2013";"CHEMBL3308072";"";"";""
