"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL3127163";"";"None";"389.36";"0";"4.87";"22";"O=C(O)c1csc(-n2nc(-c3ccccc3)c3ccc(C(F)(F)F)cc32)n1";"IC50";"'='";"0.6";"nM";"9.22";"";"";"UO_0000065";"23.68";"0.47";"4.35";"13.56";"0";"CHEMBL3131142";"Antagonist activity at human EP1 receptor assessed as inhibition of PGE-induced effect by reporter gene assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1811";"Prostanoid EP1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3124785";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";""
"CHEMBL3127155";"";"None";"339.35";"0";"3.99";"14";"O=C(O)c1csc(-n2nc(-c3ccccc3)c3cc(F)ccc32)n1";"IC50";"'='";"80.0";"nM";"7.10";"";"";"UO_0000065";"20.91";"0.40";"3.11";"10.44";"0";"CHEMBL3131142";"Antagonist activity at human EP1 receptor assessed as inhibition of PGE-induced effect by reporter gene assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1811";"Prostanoid EP1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3124785";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";""
"CHEMBL3127177";"";"None";"325.39";"0";"3.57";"5";"O=C(O)c1csc(-n2nc(-c3ccccc3)c3c2CCCC3)n1";"IC50";"'='";"16.0";"nM";"7.80";"";"";"UO_0000065";"23.96";"0.46";"4.23";"11.46";"0";"CHEMBL3131142";"Antagonist activity at human EP1 receptor assessed as inhibition of PGE-induced effect by reporter gene assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1811";"Prostanoid EP1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3124785";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";""
"CHEMBL3686863";"";"None";"383.45";"0";"2.92";"BDBM142234";"Cc1ccc(N2CCC(O)CC2)nc1C(=O)Nc1c(C)cc(C(=O)O)cc1C";"Ki";"'>'";"17500.0";"nM";"";"";"278012";"UO_0000065";"";"";"";"";"0";"CHEMBL3706078";"In Vitro Binding Assay: hEP1 and hEP4 membranes are prepared from recombinant HEK293 cells stably expressing human EP1 (Genbank accession number AY275470) or EP4 (Genbank accession number AY429109) receptors. hEP2 and hEP3 membranes are prepared from HEK293 cells transiently transfected with EP2 (Genbank accession number AY275471) or EP3 (isoform VI: Genbank accession number AY429108) receptor plasmids. Frozen cell pellets are homogenized in homogenization buffer using a Teflon/glass homogenizer. Membrane protein is aliquoted and quick frozen on dry ice prior to storage at -80 C. Homogenization buffer contained 10 mM Tris-HCl, pH 7.4, 250 mM sucrose, 1 mM EDTA, 0.3 mM indomethacin and plus Complete, with EDTA, obtained from Roche Molecular Biochemicals (Catalog Number 1 697 498). Kd values for [3H]-PGE2 binding to each receptor are determined by saturation binding studies or homologous competition. Compounds are tested in a 96-well format using a three-fold dilution series to generate a 10-point curve.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1811";"Prostanoid EP1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638377";"37";"BindingDB Database";"";"2015";"CHEMBL3307715";"";"";""
"CHEMBL234398";"";"None";"452.58";"0";"4.08";"5f";"CCc1ccccc1N(CC(=O)NCc1ccc(OC)cc1)S(=O)(=O)c1ccc(C)cc1";"Ki";"'='";"25.12";"nM";"7.60";"";"";"UO_0000065";"16.79";"0.32";"3.52";"10.04";"0";"CHEMBL903309";"Displacement of [3H]PGE2 from EP1 expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1811";"Prostanoid EP1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139103";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3308072";"";"";""
"CHEMBL91377";"";"None";"609.73";"2";"6.60";"4";"O=C(NCCc1cccs1)NS(=O)(=O)c1ccccc1-c1ccc(CN2C(=O)c3ccccc3Oc3ccccc32)cc1";"Ki";"'='";"10800.0";"nM";"4.97";"";"";"UO_0000065";"8.15";"0.16";"-1.63";"4.74";"0";"CHEMBL766140";"Affinity at human EP1 receptor.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1811";"Prostanoid EP1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131980";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";"";"";""
"CHEMBL1915252";"";"None";"366.80";"1";"5.00";"25";"Cc1cc(C(=O)O)nn1Cc1cc(Cl)cc2cc(-c3ccccc3)oc12";"IC50";"'='";"1.995";"nM";"8.70";"";"";"UO_0000065";"23.72";"0.46";"3.70";"12.75";"0";"CHEMBL1920205";"Displacement of [3H]GW875240X from human prostanoid EP1 receptor expressed in CHO-K1 cells after 45 mins by topcount liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL1811";"Prostanoid EP1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1914431";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2011";"CHEMBL3307512";"";"";""
"CHEMBL90269";"";"None";"615.76";"2";"6.53";"5";"O=C(NCCc1ccccc1)NS(=O)(=O)c1ccccc1-c1ccc(CN2C(=O)c3ccccc3CCc3ccccc32)cc1";"Ki";"'='";"120.0";"nM";"6.92";"";"";"UO_0000065";"11.24";"0.21";"0.39";"7.24";"0";"CHEMBL766140";"Affinity at human EP1 receptor.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1811";"Prostanoid EP1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131980";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";"";"";""
"CHEMBL262690";"";"None";"587.70";"2";"6.81";"8";"O=C(Nc1ccccc1)NS(=O)(=O)c1ccccc1-c1ccc(CN2C(=O)c3ccccc3CCc3ccccc32)cc1";"Ki";"'='";"21000.0";"nM";"4.68";"";"";"UO_0000065";"7.96";"0.15";"-2.13";"4.89";"0";"CHEMBL766140";"Affinity at human EP1 receptor.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1811";"Prostanoid EP1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131980";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";"";"";""
"CHEMBL3092131";"";"None";"359.41";"0";"4.27";"26";"O=C(O)c1csc(-n2nc(-c3ccccc3)c3c2-c2ccccc2C3)n1";"IC50";"'='";"40.0";"nM";"7.40";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3095968";"Antagonist activity human EP1 receptor assessed as inhibition of PGE2-induced intracellular Ca2+ release by cell-based assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1811";"Prostanoid EP1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3091274";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL3092152";"";"None";"381.84";"1";"5.01";"20";"O=C(O)c1csc(-n2nc(-c3ccccc3)c(Cl)c2-c2ccccc2)n1";"IC50";"'='";"60.0";"nM";"7.22";"";"";"UO_0000065";"18.91";"0.38";"2.21";"10.62";"0";"CHEMBL3095969";"Antagonist activity human EP1 receptor assessed as inhibition of PGE2-induced effect by reporter gene assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1811";"Prostanoid EP1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3091274";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL3092146";"";"None";"360.44";"1";"5.27";"14";"Cc1c(-c2ccccc2)nn(-c2ccc(C(=O)O)s2)c1-c1ccccc1";"IC50";"'='";"1000.0";"nM";"6.00";"";"";"UO_0000065";"16.65";"0.32";"0.73";"10.89";"0";"CHEMBL3095969";"Antagonist activity human EP1 receptor assessed as inhibition of PGE2-induced effect by reporter gene assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1811";"Prostanoid EP1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3091274";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL165010";"";"None";"284.38";"0";"4.10";"2";"CSc1ccc(Cc2ccccc2/C=C/C(=O)O)cc1";"Ki";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL766139";"Antagonistic activity at Prostanoid EP1 receptor in human was determined";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1811";"Prostanoid EP1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134750";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2001";"None";"";"";""
"CHEMBL46671";"";"None";"455.98";"1";"5.62";"29";"O=C(O)CCCCCCN1C(=O)CC[C@@H]1/C=C/C(O)c1cccc(-c2ccc(Cl)cc2)c1";"Ki";"";"";"nM";"";"";"Not Determined";"UO_0000065";"";"";"";"";"0";"CHEMBL763181";"Binding affinity against prostanoid EP1 receptor; nd=Not determined";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1811";"Prostanoid EP1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137967";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";""
"CHEMBL42129";"";"None";"365.51";"0";"3.90";"14";"O=C(O)CCCCCCN1C(=O)CC[C@@H]1/C=C/[C@@H](O)CC1CCCCC1";"Ki";"";"";"nM";"";"";"Not Determined";"UO_0000065";"";"";"";"";"0";"CHEMBL763181";"Binding affinity against prostanoid EP1 receptor; nd=Not determined";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1811";"Prostanoid EP1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137967";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";""
"CHEMBL232931";"";"None";"496.43";"1";"6.20";"7f";"Cc1ccc(-c2cc(Br)ccc2OCc2ccccc2)n1-c1ccc(S(C)(=O)=O)cc1";"IC50";"'='";"31.62";"nM";"7.50";"";"";"UO_0000065";"15.11";"0.33";"1.30";"15.53";"0";"CHEMBL897085";"Displacement of [3H]PGE2 from human recombinant EP1 receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1811";"Prostanoid EP1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148842";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3308072";"";"";""
"CHEMBL391287";"";"None";"541.63";"2";"5.76";"6d";"Cc1noc(C)c1S(=O)(=O)NC(=O)c1cccc(-n2c(C)ccc2-c2ccccc2OCc2ccccc2)c1";"IC50";"'='";"5.012";"nM";"8.30";"";"";"UO_0000065";"15.32";"0.29";"2.54";"8.02";"0";"CHEMBL897085";"Displacement of [3H]PGE2 from human recombinant EP1 receptor expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1811";"Prostanoid EP1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148842";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3308072";"";"";""
"CHEMBL3138992";"";"None";"396.49";"0";"3.50";"BDBM50446847";"C[C@H](NC(=O)[C@H]1CCCCN1CCOc1ccccc1)c1ccc(C(=O)O)cc1";"Ki";"'>'";"17500.0";"nM";"";"";"287620";"UO_0000065";"";"";"";"";"0";"CHEMBL3705862";"In Vitro Binding Assay: hEP1 and hEP4 membranes are prepared from recombinant HEK293 cells stably expressing the human EP1 (Genbank accession number AY275470) or EP4 (Genbank accession number AY429109) receptors. hEP2 and hEP3 membranes are prepared from HEK293 cells transiently transfected with EP2 (Genbank accession number AY275471) or EP3 (isoform VI: Genbank accession number AY429108) receptor plasmids. Frozen cell pellets are homogenized in homogenization buffer using a Teflon/glass homogenizer. Membrane protein is aliquoted and quick frozen on dry ice prior to storage at -80 C. Homogenization buffer contained 10 mM Tris-HCl, pH 7.4, 250 mM sucrose, 1 mM EDTA, 0.3 mM indomethacin and plus Complete, with EDTA, obtained from Roche Molecular Biochemicals (Catalog Number 1 697 498).Kd values for [3H]-PGE2 binding to each receptor are determined by saturation binding studies or homologous competition. Compounds are tested in a 96-well format using a three-fold dilution series.";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1811";"Prostanoid EP1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639244";"37";"BindingDB Database";"";"2015";"CHEMBL3307715";"";"";""
"CHEMBL410957";"";"None";"422.55";"0";"4.07";"5b";"CCc1ccccc1N(CC(=O)NCc1ccccc1)S(=O)(=O)c1ccc(C)cc1";"Ki";"'='";"223.87";"nM";"6.65";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL903308";"Antagonist activity at human EP1 expressed in CHOK1 cells receptor assessed as inhibition of intracellular calcium mobilization by FLIPR assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL1811";"Prostanoid EP1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139103";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3307512";"";"";""
"CHEMBL240247";"";"None";"452.58";"0";"4.08";"5c";"CCc1ccccc1N(CC(=O)NCc1cccc(OC)c1)S(=O)(=O)c1ccc(C)cc1";"Ki";"'='";"79.43";"nM";"7.10";"";"";"UO_0000065";"15.69";"0.30";"3.02";"9.38";"0";"CHEMBL903309";"Displacement of [3H]PGE2 from EP1 expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1811";"Prostanoid EP1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139103";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3308072";"";"";""
"CHEMBL410957";"";"None";"422.55";"0";"4.07";"5b";"CCc1ccccc1N(CC(=O)NCc1ccccc1)S(=O)(=O)c1ccc(C)cc1";"Ki";"'='";"63.1";"nM";"7.20";"";"";"UO_0000065";"17.04";"0.33";"3.13";"10.83";"0";"CHEMBL903309";"Displacement of [3H]PGE2 from EP1 expressed in CHO cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1811";"Prostanoid EP1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139103";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3308072";"";"";""
"CHEMBL520438";"";"None";"498.41";"1";"5.22";"10a";"Cc1cc(C(=O)Nc2ccc(CO)cc2)nn1Cc1cc(Cl)ccc1OCc1ccccc1.Cl";"IC50";"'='";"6.31";"nM";"8.20";"";"";"UO_0000065";"17.75";"0.34";"2.98";"10.74";"0";"CHEMBL1022751";"Displacement of [H3PGE2 from human EP1 receptor expressed in CHOK1 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL1811";"Prostanoid EP1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155060";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"CHEMBL3307512";"";"";""
"CHEMBL523158";"";"None";"491.46";"1";"5.29";"9c";"CCNCc1ccc(NC(=O)c2cc(C)n(Cc3cc(Cl)ccc3OCC(C)C)n2)cc1.Cl";"IC50";"'='";"7.943";"nM";"8.10";"";"";"UO_0000065";"17.80";"0.35";"2.81";"11.88";"0";"CHEMBL1022751";"Displacement of [H3PGE2 from human EP1 receptor expressed in CHOK1 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO-K1";"None";"";"";"";"CHEMBL1811";"Prostanoid EP1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155060";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"CHEMBL3307512";"";"";""
